"id","label","obsolete","ordering"
"266","label.administrative.route.secondary266","0","266"
"267","label.administrative.route.secondary267","0","267"
"268","label.administrative.route.secondary268","0","268"
"269","label.administrative.route.secondary269","0","269"
"270","label.administrative.route.secondary270","0","270"
"271","label.administrative.route.secondary271","0","271"
"272","label.administrative.route.secondary272","0","272"
"273","label.administrative.route.secondary273","0","273"
"274","label.administrative.route.secondary274","0","274"
"275","label.administrative.route.secondary275","0","275"
"276","label.administrative.route.secondary276","0","276"
"277","label.administrative.route.secondary277","0","277"
"278","label.administrative.route.secondary278","0","278"
"279","label.administrative.route.secondary279","0","279"
"280","label.administrative.route.secondary280","0","280"
"281","label.administrative.route.secondary281","0","281"
"282","label.administrative.route.secondary282","0","282"
"283","label.administrative.route.secondary283","0","283"
"284","label.administrative.route.secondary284","0","284"
"285","label.administrative.route.secondary285","0","285"
"286","label.administrative.route.secondary286","0","286"
"287","label.administrative.route.secondary287","0","287"
"288","label.administrative.route.secondary288","0","288"
"289","label.administrative.route.secondary289","0","289"
"290","label.administrative.route.secondary290","0","290"
"291","label.administrative.route.secondary291","0","291"
"292","label.administrative.route.secondary292","0","292"
"293","label.administrative.route.secondary293","0","293"
"294","label.administrative.route.secondary294","0","294"
"295","label.administrative.route.secondary295","0","295"
"296","label.administrative.route.secondary296","0","296"
"297","label.administrative.route.secondary297","0","297"
"298","label.administrative.route.secondary298","0","298"
"299","label.administrative.route.secondary299","0","299"
"300","label.administrative.route.secondary300","0","300"
"301","label.administrative.route.secondary301","0","301"
"302","label.administrative.route.secondary302","0","302"
"303","label.administrative.route.secondary303","0","303"
"304","label.administrative.route.secondary304","0","304"
"305","label.administrative.route.secondary305","0","305"
"306","label.administrative.route.secondary306","0","306"
"307","label.administrative.route.secondary307","0","307"
"308","label.administrative.route.secondary308","0","308"
"309","label.administrative.route.secondary309","0","309"
"310","label.administrative.route.secondary310","0","310"
"311","label.administrative.route.secondary311","0","311"
"312","label.administrative.route.secondary312","0","312"
"313","label.administrative.route.secondary313","0","313"
"314","label.administrative.route.secondary314","0","314"
"315","label.administrative.route.secondary315","0","315"
"316","label.administrative.route.secondary316","0","316"
"317","label.administrative.route.secondary317","0","317"
"318","label.administrative.route.secondary318","0","318"
"319","label.administrative.route.secondary319","0","319"
"320","label.administrative.route.secondary320","0","320"
"321","label.administrative.route.secondary321","0","321"
"322","label.administrative.route.secondary322","0","322"
"323","label.administrative.route.secondary323","0","323"
"324","label.administrative.route.secondary324","0","324"
"325","label.administrative.route.secondary325","0","325"
"326","label.administrative.route.secondary326","0","326"
"327","label.administrative.route.secondary327","0","327"
"328","label.administrative.route.secondary328","0","328"
"1000","label.administrative.route.secondary1000","0","1000"
"1001","label.administrative.route.secondary1001","0","1001"
"1002","label.administrative.route.secondary1002","0","1002"
"1003","label.administrative.route.secondary1003","0","1003"
"1004","label.administrative.route.secondary1004","0","1004"
"1005","label.administrative.route.secondary1005","0","1005"
"1006","label.administrative.route.secondary1006","0","1006"
"1007","label.administrative.route.secondary1007","0","1007"
"1008","label.administrative.route.secondary1008","0","1008"
"1009","label.administrative.route.secondary1009","0","1009"
